username,action,detail,createdAt
xsy,register,"{""username"":""xsy""}",2026-01-22T08:57:39.821Z
xsy,profile,"{""gender"":""女生"",""age"":"">18岁"",""grade"":""初中""}",2026-01-22T08:57:51.693Z
xsy,login,"{""username"":""xsy""}",2026-01-23T02:39:49.676Z
xsy,login,"{""username"":""xsy""}",2026-01-23T02:57:46.727Z
xsy,login,"{""username"":""xsy""}",2026-01-23T03:02:32.314Z
xsy,login,"{""username"":""xsy""}",2026-01-23T03:03:19.749Z
xsy,login,"{""username"":""xsy""}",2026-01-23T03:39:09.274Z
Hom1,register,"{""username"":""Hom1""}",2026-01-23T04:01:07.072Z
Hom1,profile,"{""gender"":""女生"",""age"":"">18岁"",""grade"":""高中""}",2026-01-23T04:01:15.020Z
xsy,login,"{""username"":""xsy""}",2026-01-23T04:35:40.662Z
